19.02.2018 11:19:38:238 |2018217121558355| UMain.StopMyTimer
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=-1
19.02.2018 11:19:38:238 |2018217121558355| UActPlayList.LoadDefaultClipToPlayer TypeTL=tlDevise
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
19.02.2018 11:19:38:238 |2018217121558355| UActPlayList.LoadDefaultClipToPlayer ZoneNames.Edit.IDTimeline=1 Position=1
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TTLNames.Draw Start
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TZoneScaler.Draw Height=25
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TNamesTL.Clear
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TNamesTL.Init Result=113
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TTimeLineName.Draw Position=0
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TTimeLineName.Draw Position=1
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TTimeLineName.Draw Position=2
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
19.02.2018 11:19:38:238 |2018217121558355| UDrawTimelines.TTLNames.Draw Finish
19.02.2018 11:19:38:238 |2018217121558355| UActPlayList.LoadDefaultClipToPlayer ZoneNames.Draw
19.02.2018 11:19:38:238 |2018217121558355| UGRTimelines.TTLZone.InitTimelines Start
