11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadProjectFromDisk Finish
11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TMyCell.LoadJpeg File=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Templates\20176321534794.jpeg Width=128 Height=80
11.06.2017 15:33:30:630 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Templates\20176321534794.jpeg
11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\Clips.lst Grid=GridClips
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
11.06.2017 15:33:30:630 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\Clips.lst Grid=GridClips
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridClips
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CheckedClipsInList-2 Grid=GridClips File=ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=C:\¿–Ã –≈ƒ¿ “Œ–¿\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com)_1.mp3ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=E:\œ‡‚ÂÎ ¿ÎÂÍÒÂÂ‚Ë˜\ARM EDITOR\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. (1)1.aviÕ‡È‰ÂÌ
11.06.2017 15:33:30:630 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridClips
11.06.2017 15:33:30:630 |2017522182734909| UCommon.loadoldproject Finish
11.06.2017 15:33:30:630 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
11.06.2017 15:33:30:630 |2017522182734909| UInitForms.UpdatePanelAir
11.06.2017 15:33:30:630 |2017522182734909| Form1.Create Finish
11.06.2017 15:33:30:630 |2017522182734909| Message:WM_GETMINMAXINFO
11.06.2017 15:33:30:630 |2017522182734909| Message:WM_GETMINMAXINFO
11.06.2017 15:33:30:630 |2017522182734909| Message:WMEraseBackGround
11.06.2017 15:33:30:630 |2017522182734909| UInitForms.InitNewProject
11.06.2017 15:33:30:630 |2017522182734909| UInitForms.InitPlaylists
11.06.2017 15:33:30:630 |2017522182734909| UInitForms.InitEditTimeline
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFrButtonOptions
11.06.2017 15:33:36:636 |2017522182734909| UGrid.initgrid Grid=StringGrid1 Width=512
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitImportFiles
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitTextTemplates
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitMyMessage
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitImageTemplate
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFrSetTemplate
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFrSetEventData
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFrSortGrid
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFrShiftTL
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFrShortNum
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFrMediaCopy
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFPageSetup
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitfrMyPrint
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitFrLTC
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitfrTimeCode
