27.06.2017 23:02:23:623 |2017522182734909| Message:WM_GETMINMAXINFO
27.06.2017 23:02:23:623 |2017522182734909| Message:WM_GETMINMAXINFO
27.06.2017 23:02:23:623 |2017522182734909| Message:WMEraseBackGround
27.06.2017 23:02:23:623 |2017522182734909| UInitForms.InitNewProject
27.06.2017 23:02:23:623 |2017522182734909| UInitForms.InitPlaylists
27.06.2017 23:02:23:623 |2017522182734909| UInitForms.InitEditTimeline
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFrButtonOptions
27.06.2017 23:02:38:638 |2017522182734909| UGrid.initgrid Grid=StringGrid1 Width=512
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitImportFiles
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitTextTemplates
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitMyMessage
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitImageTemplate
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFrSetTemplate
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFrSetEventData
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFrSortGrid
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFrShiftTL
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFrShortNum
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFrMediaCopy
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFPageSetup
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitfrMyPrint
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitFrLTC
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitfrTimeCode
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitfrMyTextTemplate
27.06.2017 23:02:38:638 |2017522182734909| UInitForms.InitfrNewList
27.06.2017 23:02:38:638 |2017522182734909| Message:WMEraseBackGround
27.06.2017 23:02:38:638 |2017522182734909| Message:WMEraseBackGround
27.06.2017 23:03:35:635 |2017522182734909| TForm1.SpeedButton1Click Input=Yes User=Demo
27.06.2017 23:03:39:639 |2017522182734909| TForm1.lbModeClick
27.06.2017 23:03:39:639 |2017522182734909| TForm1.Label2Click Start
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer Start
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer - Œ˜ËÒÚÍ‡ Ô‡ÏˇÚË
27.06.2017 23:03:39:639 |2017522182734909| UMyFiles.DeleteFilesMask Dir=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp Mask=*.undo
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer-Œ˜ËÒÚÍ‡ UNDO
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer |  | File:  | Clip:  | ClipID= | Start= | Duration= 00:07:00:00
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer MyStartPlay=-00:00:00:01 Synchro=false
27.06.2017 23:03:39:639 |2017522182734909| UCommon.SwitcherVideoPanels Command=1
27.06.2017 23:03:39:639 |2017522182734909| UGrid.MarkRowPhraseInGrid Grid=GridGRTemplate MarkCell=0 WorkCell=2 Name=File Text Row=0 Mark:=false SwitcherVideoPanels-2
27.06.2017 23:03:39:639 |2017522182734909| UGrid.MarkRowPhraseInGrid Grid=GridGRTemplate MarkCell=0 WorkCell=2 Name=File Text Row=1 Mark:=false SwitcherVideoPanels-2
27.06.2017 23:03:39:639 |2017522182734909| UCommon.TemplateToScreen-2 Clear
27.06.2017 23:03:39:639 |2017522182734909| UMyFiles.LoadClipEditingFromFile Start ClipName=defaultclip
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLParameters.UpdateParameters
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=-1
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer TypeTL=tlDevise
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer ZoneNames.Edit.IDTimeline=1 Position=1
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Clear
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer ZoneNames.Draw
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Start
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.WriteToBuffer
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=1 Position=0
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=1 Result=-1
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=21 Position=1
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=21 Result=-1
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=41 Position=2
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=41 Result=-1
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Finish
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer TLZone.DrawBitmap
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer TLZone.DrawTimelines
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer CurrentEvents : Number=-1 Image=
27.06.2017 23:03:39:639 |2017522182734909| UGrid.MarkRowPhraseInGrid Grid=GridGRTemplate MarkCell=0 WorkCell=2 Name=File Text Row=0 Mark:=false LoadDefaultClipToPlayer-2
27.06.2017 23:03:39:639 |2017522182734909| UGrid.MarkRowPhraseInGrid Grid=GridGRTemplate MarkCell=0 WorkCell=2 Name=File Text Row=1 Mark:=false LoadDefaultClipToPlayer-2
27.06.2017 23:03:39:639 |2017522182734909| UCommon.TemplateToScreen-2 Clear
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer TemplateToScreen
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer MyPanelAir.AirDevices.Init TLZone.TLEditor.Index=1
27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer MyPanelAir.SetValues
