20.02.2018 12:45:46:246 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:45:46:246 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:45:46:246 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:45:46:246 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:45:46:246 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:46:46:246 || Form1.Create Start
20.02.2018 12:46:46:246 || 
20.02.2018 12:46:46:246 || *****************************************************************************************
20.02.2018 12:46:46:246 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:46:46:246 || *************************            Время старта: 12:46:46:11             *************************
20.02.2018 12:46:46:246 || *****************************************************************************************
20.02.2018 12:46:46:246 || UCommon.CreateDirectories
20.02.2018 12:46:46:246 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:46:46:246 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:46:46:246 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:46:46:246 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:46:46:246 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:46:46:246 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:46:46:246 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:46:46:246 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:46:46:246 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:47:30:230 || Form1.Create Start
20.02.2018 12:47:30:230 || 
20.02.2018 12:47:30:230 || *****************************************************************************************
20.02.2018 12:47:30:230 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:47:30:230 || *************************            Время старта: 12:47:30:23             *************************
20.02.2018 12:47:30:230 || *****************************************************************************************
20.02.2018 12:47:30:230 || UCommon.CreateDirectories
20.02.2018 12:47:30:230 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:47:30:230 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:47:30:230 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:47:30:230 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:47:30:230 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:47:30:230 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:47:30:230 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:47:30:230 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:47:30:230 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:48:09:29 || Form1.Create Start
20.02.2018 12:48:09:29 || 
20.02.2018 12:48:09:29 || *****************************************************************************************
20.02.2018 12:48:09:29 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:48:09:29 || *************************            Время старта: 12:48:09:04             *************************
20.02.2018 12:48:09:29 || *****************************************************************************************
20.02.2018 12:48:09:29 || UCommon.CreateDirectories
20.02.2018 12:48:09:29 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:48:09:29 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:48:09:29 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:48:09:29 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:48:09:29 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:48:09:29 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:48:09:29 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:48:09:29 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:48:09:29 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 12:49:46:246 || Form1.Create Start
20.02.2018 12:49:46:246 || 
20.02.2018 12:49:46:246 || *****************************************************************************************
20.02.2018 12:49:46:246 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 12:49:46:246 || *************************            Время старта: 12:49:46:09             *************************
20.02.2018 12:49:46:246 || *****************************************************************************************
20.02.2018 12:49:46:246 || UCommon.CreateDirectories
20.02.2018 12:49:46:246 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 12:49:46:246 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 12:49:46:246 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 12:49:46:246 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 12:49:46:246 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 12:49:46:246 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 12:49:46:246 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 12:49:46:246 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 12:49:46:246 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 13:00:20:220 || Form1.Create Start
20.02.2018 13:00:20:220 || 
20.02.2018 13:00:20:220 || *****************************************************************************************
20.02.2018 13:00:20:220 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 13:00:20:220 || *************************            Время старта: 13:00:20:17             *************************
20.02.2018 13:00:20:220 || *****************************************************************************************
20.02.2018 13:00:20:220 || UCommon.CreateDirectories
20.02.2018 13:00:20:220 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 13:00:20:220 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 13:00:20:220 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 13:00:20:220 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 13:00:20:220 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 13:00:20:220 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 13:00:20:220 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 13:00:20:220 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 13:00:20:220 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 13:01:57:257 || Form1.Create Start
20.02.2018 13:01:57:257 || 
20.02.2018 13:01:57:257 || *****************************************************************************************
20.02.2018 13:01:57:257 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 13:01:57:257 || *************************            Время старта: 13:01:57:11             *************************
20.02.2018 13:01:57:257 || *****************************************************************************************
20.02.2018 13:01:57:257 || UCommon.CreateDirectories
20.02.2018 13:01:57:257 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 13:01:57:257 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 13:01:57:257 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 13:01:57:257 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 13:01:57:257 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 13:01:57:257 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 13:01:57:257 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
