09.01.2018 20:49:48:148 || UGrid.initgrid Grid=GridActPlayList Width=1560
09.01.2018 20:49:48:148 || UInitForms.InitPanelProject
09.01.2018 20:49:48:148 || UGrid.initgrid Grid=GridProjects Width=1560
09.01.2018 20:49:48:148 || UGrid.initgrid Grid=GridLists Width=1560
09.01.2018 20:49:48:148 || UInitForms.InitPanelPrepare
09.01.2018 20:49:48:148 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
09.01.2018 20:49:48:148 || UGrid.initgrid Grid=GridGRTemplate Width=446
09.01.2018 20:49:48:148 || UDrawTimelines.TTLNames.SetDefaultFonts;
09.01.2018 20:49:48:148 || UDrawTimelines.TTLNames.Draw Start
09.01.2018 20:49:48:148 || UDrawTimelines.TZoneScaler.Draw Height=25
09.01.2018 20:49:48:148 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
09.01.2018 20:49:48:148 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=1
09.01.2018 20:49:48:148 || UDrawTimelines.TNamesTL.Init Result=152
09.01.2018 20:49:48:148 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
09.01.2018 20:49:48:148 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
09.01.2018 20:49:48:148 || UDrawTimelines.TTLNames.Draw Finish
09.01.2018 20:49:48:148 || UInitForms.InitPanelAir
09.01.2018 20:49:48:148 || UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\АРМ_1\Projects\ListProjects.prjt Grid=GridProjects
09.01.2018 20:49:48:148 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 || UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 || UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\АРМ_1\Projects\ListProjects.prjt Grid=GridProjects
09.01.2018 20:49:48:148 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
09.01.2018 20:49:48:148 || UCommon.loadoldproject Start
09.01.2018 20:49:48:148 || UCommon.initnewproject Start
09.01.2018 20:49:48:148 || UInitForms.InitPanelPrepare
09.01.2018 20:49:48:148 || TForm1.CheckBox1Click GridGRTemplate.Visible:=false
09.01.2018 20:49:48:148 || UGrid.initgrid Grid=GridGRTemplate Width=446
09.01.2018 20:49:48:148 || UDrawTimelines.TTLNames.SetDefaultFonts;
09.01.2018 20:49:48:148 || UDrawTimelines.TTLNames.Draw Start
09.01.2018 20:49:48:148 || UDrawTimelines.TZoneScaler.Draw Height=25
09.01.2018 20:49:48:148 || UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
09.01.2018 20:49:48:148 || UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
09.01.2018 20:49:48:148 || UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
09.01.2018 20:49:48:148 || UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
09.01.2018 20:49:48:148 || UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
09.01.2018 20:49:48:148 || UDrawTimelines.TNamesTL.Init Result=113
09.01.2018 20:49:48:148 || UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
09.01.2018 20:49:48:148 || UDrawTimelines.TTimeLineName.Draw Position=0
09.01.2018 20:49:48:148 || UDrawTimelines.TTimeLineName.Draw Position=1
09.01.2018 20:49:48:148 || UDrawTimelines.TTimeLineName.Draw Position=2
09.01.2018 20:49:48:148 || UDrawTimelines.TZoneReview.Draw Top=283 Height=45
09.01.2018 20:49:48:148 || UDrawTimelines.TTLNames.Draw Finish
09.01.2018 20:49:48:148 || UGrid.MyGridDeleteRow Grid=GridClips Row=1
09.01.2018 20:49:48:148 || UGrid.GridClear Row=1
09.01.2018 20:49:48:148 || UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
09.01.2018 20:49:48:148 || UGrid.GridClear Row=1
09.01.2018 20:49:48:148 || UGrid.MyGridDeleteRow Grid=GridLists Row=1
09.01.2018 20:49:48:148 || UGrid.GridClear Row=1
09.01.2018 20:49:48:148 || UCommon.initnewproject Finish
09.01.2018 20:49:48:148 || UGrid.findgridselection Grid=GridProjects Cell=2 Result=1
09.01.2018 20:49:48:148 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadProjectFromDisk Start
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories NewProject=2017522182734909
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\АРМ_1\Clips
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories DirProject=G:\home\ARM_editor\АРМ_1\Projects
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories PathProject=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories PathLists=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Lists
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories PathClips=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Clips
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Templates
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\PlayLists
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Temp
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CreateDirectories PathLog=G:\home\ARM_editor\АРМ_1\\Log
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.DeleteFilesMask Dir=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909 Mask=*.*
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Start FileName=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadGridTimelinesFromFile Finish FileName=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Lists\Timelines.lst Grid=GridTimeLines
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadProjectFromDisk Finish
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
09.01.2018 20:49:48:148 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Temp\PlayLists.lst Grid=GridLists
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
09.01.2018 20:49:48:148 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
